,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Player,Pos,G,GS,Int,IntYds,IntTD,IntLong,PD,FF,Fmb,FR,FmbYds,FumbTD,Sacks,Comb,Solo,Ast,TFL,Sfty
,,,,,,,,,,,,,,,,,,,
Bashaud Breeland,CB,16,15,2,4,0,4,8,0,0,2,114,1,0,48,37,11,1,0
Calais Campbell,de,16,16,0,0,0,0,1,2,0,1,8,1,6.5,56,37,19,10,0
Maurice Canady,NA,13,3,1,3,0,3,5,1,0,0,0,0,0,46,37,9,1,0
Tashaun Gipson,S,14,14,3,105,1,79,8,0,0,0,0,0,0,51,37,14,2,0
Markus Golden,LB,16,16,0,0,0,0,0,0,0,1,42,1,10,72,37,35,13,0
Shaun Dion Hamilton,NA,16,0,1,0,0,0,2,1,0,1,0,0,1,49,37,12,5,0
Byron Jones,CB,15,14,0,0,0,0,6,1,0,0,0,0,0,46,37,9,0,0
Cameron Jordan,DE,16,16,0,0,0,0,3,0,0,1,0,0,15.5,53,37,16,15,0
Sean Murphy-Bunting,CB,16,10,3,88,1,70,8,1,0,0,0,0,1,44,37,7,1,0
Jahlani Tavai,lb,15,6,1,2,0,2,2,1,0,0,0,0,2,58,37,21,5,0
Greedy Williams,CB,12,12,0,0,0,0,2,0,0,0,0,0,0,47,37,10,2,0
Gareon Conley,NA,14,12,1,3,0,3,13,0,0,0,0,0,0,50,36,14,0,0
Maxx Crosby,DE,16,10,0,0,0,0,4,4,0,0,0,0,10,47,36,11,16,0
Grant Haley,cb,15,3,0,0,0,0,0,0,0,0,0,0,1,43,36,7,4,0
Yannick Ngakoue,DE,15,15,1,23,1,23,6,4,0,1,-2,0,8,41,36,5,13,0
Foyesade Oluokun,mlb,16,3,0,0,0,0,0,1,0,0,0,0,0,62,36,26,2,0
Donald Payne,lb,9,5,0,0,0,0,1,0,0,1,0,0,1,61,36,25,3,0
Troy Reeder,LB,16,8,0,0,0,0,0,2,0,0,0,0,0,58,36,22,0,0
Andrew Sendejo,NA,15,3,3,36,0,21,4,0,0,0,0,0,1,45,36,9,2,0
Darius Slay,CB,14,14,2,19,0,19,13,0,0,1,38,0,0,46,36,10,0,0
Preston Smith,LB,16,16,1,5,0,5,4,1,0,0,0,0,12,56,36,20,11,0
Eric Wilson,lb,16,6,0,0,0,0,0,0,0,1,0,0,3,62,36,26,6,0
Jahleel Addae,s,16,3,2,5,0,4,3,0,0,0,0,0,0,45,35,10,0,0
Lorenzo Alexander,lb,16,7,0,0,0,0,9,1,0,0,0,0,2,55,35,20,4,0
Brandon Graham,DE,16,16,0,0,0,0,0,1,0,2,4,0,8.5,50,35,15,15,0
Lawrence Guy,DL,16,16,1,5,0,5,1,0,0,2,0,0,3,61,35,26,5,0
Javon Hargrave,NT,16,13,0,0,0,0,0,1,0,0,0,0,4,60,35,25,7,0
Anthony Harris,S,14,14,6,42,1,20,11,0,0,1,0,0,0,60,35,25,1,0
Raekwon McMillan,LB,13,12,0,0,0,0,1,0,0,0,0,0,0,72,35,37,3,0
Ben Niemann,lb,16,1,0,0,0,0,1,0,0,1,0,0,0,56,35,21,1,0
Larry Ogunjobi,DT,15,15,0,0,0,0,1,0,0,0,0,0,5.5,50,35,15,10,0
Bradley Roby,CB,10,10,2,49,1,27,8,1,0,0,0,0,1,38,35,3,2,0
T.J. Watt,LB,16,16,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,0
K'Waun Williams,cb,15,8,2,53,0,49,2,4,0,0,0,0,1,51,35,16,2,0
Michael Brockers,DL,16,16,0,0,0,0,1,0,0,0,0,0,3,63,34,29,3,0
DeForest Buckner,de,16,16,0,0,0,0,2,2,0,4,12,1,7.5,62,34,28,9,0
Ronald Darby,CB,11,11,2,29,0,16,11,0,0,0,0,0,0,37,34,3,1,0
Kendall Fuller,cb,11,4,0,0,0,0,2,0,0,0,0,0,1,49,34,15,3,0
Rayshawn Jenkins,S,16,16,3,10,0,8,4,0,0,0,0,0,0,54,34,20,2,0
Lonnie Johnson,cb,14,7,0,0,0,0,7,0,0,0,0,0,0,41,34,7,0,0
Jaquiski Tartt,db,12,12,0,0,0,0,2,1,0,2,0,0,0.5,48,34,14,1,0
P.J. Williams,cb,14,8,1,0,0,0,4,0,0,0,0,0,1,44,34,10,3,0
Mike Edwards,db,15,7,0,0,0,0,6,0,0,2,-1,0,1,45,33,12,3,0
Trey Flowers,DE,15,15,0,0,0,0,0,2,0,0,0,0,7,51,33,18,8,0
Davon Godchaux,DT,16,16,0,0,0,0,1,0,0,0,0,0,2,75,33,42,4,0
Justin Houston,DE,16,16,0,0,0,0,0,2,0,3,0,0,11,44,33,11,13,1
Whitney Mercilus,LB,16,16,2,88,0,86,2,4,0,1,2,0,7.5,48,33,15,9,0
Von Miller,LB,15,15,0,0,0,0,2,0,0,0,0,0,8,46,33,13,10,0
Fabian Moreau,cb,12,7,3,16,0,10,5,0,0,0,0,0,0,44,33,11,0,0
Josh Norman,cb,12,8,1,2,0,2,6,1,0,0,0,0,1,40,33,7,1,0
Kendall Sheffield,CB,16,11,0,0,0,0,3,1,0,0,0,0,0,46,33,13,0,0
Michael Thomas,s,16,2,0,0,0,0,3,0,0,0,0,0,0,47,33,14,3,0
Arik Armstead,de,16,16,0,0,0,0,2,2,0,1,0,0,10,54,32,22,11,0
Nick Bosa,de,16,14,1,46,0,46,2,1,0,2,6,0,9,47,32,15,16,0
Nigel Bradham,LB,12,12,1,22,0,22,5,0,0,1,48,1,0,61,32,29,2,0
D.J. Hayden,CB,15,8,0,0,0,0,6,1,0,1,0,0,2,41,32,9,5,0
Troy Hill,CB,14,9,2,6,0,6,8,0,0,0,0,0,1,43,32,11,1,0
Donte Jackson,CB,13,10,3,25,0,25,8,0,0,2,-1,0,0,40,32,8,1,0
Jimmy Moreland,cb,14,5,0,0,0,0,4,0,0,0,0,0,0,42,32,10,1,0
Da'Ron Payne,DL,15,9,0,0,0,0,2,0,0,0,0,0,2,56,32,24,3,0
Nickell Robey-Coleman,cb,16,3,0,0,0,0,7,2,0,0,12,0,0,36,32,4,3,0
A'Shawn Robinson,de,13,9,0,0,0,0,3,1,0,2,3,0,1.5,40,32,8,3,0
D.J. Swearinger,NA,9,7,0,0,0,0,3,0,0,0,0,0,0,50,32,18,0,0
Earl Thomas,S,15,15,2,38,0,24,4,1,0,1,6,0,2,49,32,17,2,0
Isaac Yiadom,CB,16,8,0,0,0,0,4,0,0,0,0,0,0,43,32,11,1,0
Josh Allen,de,16,4,0,0,0,0,0,2,0,0,0,0,10.5,44,31,13,11,0
Kenny Clark,DL,16,16,0,0,0,0,1,1,0,0,0,0,6,62,31,31,9,0
Michael Davis,CB,12,12,2,15,0,15,9,0,0,0,0,0,0,39,31,8,0,0
Quinton Dunbar,CB,11,11,4,6,0,6,8,0,0,0,0,0,0,37,31,6,1,0
